Date,strategy,benchmark
2020-12-22,1.9003024643235409,1.523630862527335
2020-12-23,1.9033469604189712,1.5250003162160943
2020-12-24,1.9062593409294712,1.5309328021084365
2020-12-28,1.9004630068224029,1.5440850794015235
2020-12-29,1.889616068714071,1.5411390334831387
2020-12-30,1.9025638583551974,1.5433375853630467
2020-12-31,1.9135141964411286,1.5511797444348376
2021-01-04,1.8887404805557841,1.5300618137855826
2021-01-05,1.9099414305114326,1.5405996300339757
2021-01-06,1.9363674306389926,1.549810290746078
2021-01-07,1.968642827905527,1.5728363984986493
2021-01-08,1.973914678749811,1.5817980305381805
2021-01-11,1.9733093665474093,1.5711354959431199
2021-01-12,1.987725019520633,1.571467080816811
2021-01-13,1.9832726330784678,1.5756993441882294
2021-01-14,1.9931700283046934,1.5701815433983828
2021-01-15,1.9819761049265514,1.5587304406746674
2021-01-19,1.997205125319434,1.5709695674993531
2021-01-20,2.015878219668446,1.5927097298127328
2021-01-21,2.0101579215126884,1.594161603695691
2021-01-22,2.002533690715315,1.5885192205660983
2021-01-25,2.00002944933186,1.5947842433805792
2021-01-26,1.984512616470392,1.592294636689474
2021-01-27,1.9324065107594617,1.5533781603078238
2021-01-28,1.957472265663706,1.5667378481556191
2021-01-29,1.9262255740564977,1.5353726120414837
2021-02-01,1.9592308297019274,1.5609295365822597
2021-02-02,1.9870569051767515,1.5830011477624095
2021-02-03,1.9857918899802367,1.5842458831045017
2021-02-04,2.0129059781855796,1.6022521114054475
2021-02-05,2.0254378062154315,1.6085582083101067
2021-02-08,2.051349055256352,1.6201752394775888
2021-02-09,2.0504642265157225,1.619096160565421
2021-02-10,2.0540356474233388,1.6183909646794128
2021-02-11,2.064479246491209,1.621005017703343
2021-02-12,2.077899578209907,1.6290125611912158
2021-02-16,2.0727145951405976,1.6276014893845938
2021-02-17,2.0710028883462197,1.627975372410753
2021-02-18,2.054021313532297,1.6210462278004423
2021-02-19,2.0706814836031224,1.6181836901316256
2021-02-22,2.0496107592469763,1.6057370167453102
2021-02-23,2.0457265933466373,1.6076868119664895
2021-02-24,2.0715407468372264,1.6254025294839225
2021-02-25,2.0145871840881058,1.5862375684573857
2021-02-26,2.0203608057440428,1.578064096525746
2021-03-01,2.0679172819238003,1.616316451111566
2021-03-02,2.0525081106000447,1.6037039852884052
2021-03-03,2.0208338014413685,1.5824621523340097
2021-03-04,1.9769962256804767,1.5628793318034386
2021-03-05,2.0146681858618423,1.5916307869074862
2021-03-08,2.0032215112498384,1.5837062076414965
2021-03-09,2.0337356801514157,1.6063177662984933
